food,calories,fat,carbs,protein
florida pompano raw,184,10.6,0.0,20.7
rockfish cooked,162,2.4,0.0,33.1
seatrout cooked,247,8.6,0.0,39.9
sockeye salmon raw,562,22.2,0.0,84.4
swordfish cooked,182,8.4,0.0,24.9
american shad raw,362,25.3,0.0,31.2
sardine canned in oil,310,17.1,0.0,36.7
anchovy canned in oil,8,0.4,0.0,1.2
salmon canned,520,20.3,0.0,79.1
sardines in tomato sauce canned,165,9.3,0.5,18.6
sockeye salmon canned,563,24.9,0.0,79.5
tuna canned,102,2.4,0.0,18.9
pink salmon canned,530,20.4,0.0,80.9
cod canned,328,2.7,0.0,71.0
eastern oyster canned,110,4.0,6.3,11.4
chum salmon canned,520,20.3,0.0,79.1
tuna canned in oil,331,14.4,0.0,47.2
wild pink salmon oceans,320,16.0,0.0,0.0
shrimp canned,128,1.7,0.0,26.1
alaska king crab raw,144,1.0,0.0,31.5
scallops fried,64,3.2,6.4,2.6
shrimp cooked,7,0.092,0.013,1.3
clams fried,19,1.0,1.0,1.3
alaska king crab cooked,130,2.1,0.0,25.9
scallops cooked,11,0.058,0.5,2.1
squid fried,140,6.0,6.2,14.4
oyster raw,41,1.2,2.5,4.7
abalone,89,0.6,5.1,14.5
queen crab raw,25,0.3,0.0,5.2
whelk cooked,78,0.2,4.4,13.5
oyster cooked,41,1.2,2.5,4.7
eastern oyster cooked,8,0.2,0.7,0.7
blue mussels cooked,344,9.0,14.8,47.6
octopus raw,23,0.3,0.6,4.2
spiny lobster cooked,233,3.2,5.1,43.0
blue mussels raw,129,3.4,5.5,17.9
queen crab cooked,98,1.3,0.0,20.2
dungeness crab cooked,140,1.6,1.2,28.3
dungeness crab raw,140,1.6,1.2,28.4
shrimp fried,52,3.2,4.8,1.3
shrimp raw,4,0.023,0.041,0.7
blue crab cooked,71,0.6,0.0,15.2
shrimp imitation,29,0.4,2.6,3.5
conch baked,165,1.5,2.2,33.4
squid raw,26,0.4,0.9,4.4
scallop raw,10,0.091,0.5,1.8
lobster raw,116,1.1,0.0,24.8
scallop imitation,28,0.1,3.0,3.6
blue crab raw,18,0.2,0.018,3.8
whelk raw,39,0.1,2.2,6.7
spiny lobster raw,234,3.2,5.1,43.1
clams canned,227,2.5,9.4,38.8
lobster cooked,134,1.3,0.0,28.5
eastern oyster fried,29,1.8,1.7,1.3
clams raw,195,2.2,8.1,33.3
octopus cooked,139,1.8,3.7,25.3
eastern oyster raw,8,0.2,0.8,0.7
oyster fried,61,3.0,6.7,2.1
sturgeon smoked,49,1.2,0.0,8.8
chinook salmon smoked,159,5.9,0.0,24.9
cisco smoked,50,3.4,0.0,4.6
haddock smoked,33,0.3,0.0,7.1
whitefish smoked,147,1.3,0.0,31.8
red salmon sockeye filets smoked,373,12.3,0.0,65.5
eggnog,224,10.6,20.4,11.6
beer light,96,0.0,5.4,0.8
beer budweiser,12,0.0,0.9,0.1
weizenbier erdinger,220,18.0,0.0,0.0
beer light budweiser,9,0.0,0.4,0.066
beer,142,0.0,11.7,1.5
root beer,202,0.0,52.3,0.0
whiskey sour mix,26,0.072,6.3,0.051
whiskey sour,158,0.0,13.9,0.0
tequila sunrise,232,0.2,23.8,0.6
daiquiri,112,0.036,4.2,0.035
pina colada,245,2.7,32.0,0.6
whiskey,58,0.0,0.1,0.0
rum,49,0.0,0.0,0.0
vodka smirnoff,13,0.4,2.0,0.0
coffee liqueur,96,0.038,13.8,0.041
gin,53,0.0,0.0,0.0
dessert wine sweet,165,0.0,14.1,0.2
chenin blanc white wine,118,0.0,4.9,0.1
gamay red wine,115,0.0,3.5,0.1
late harvest white wine,172,0.0,20.6,0.1
gewurztraminer white wine,119,0.0,3.8,0.1
burgundy red wine,172,0.0,7.4,0.1
zinfandel red wine,129,0.0,4.2,0.1
muller thurgau white wine,112,0.0,5.2,0.1
mouvedre red wine,129,0.0,3.9,0.1
table wine,123,0.0,4.0,0.1
wine light,73,0.0,1.7,0.1
white wine,121,0.0,3.8,0.1
petite sirah red wine,125,0.0,3.9,0.1
non alcoholic wine,2,0.0,0.3,0.1
pinot noir red wine,121,0.0,3.4,0.1
pinot gris grigio white wine,122,0.0,3.0,0.1
riesling white wine,118,0.0,5.5,0.1
barbera red wine,170,0.0,5.6,0.1
lemberger red wine,118,0.0,3.6,0.1
merlot red wine,122,0.0,3.7,0.1
sangiovese red wine,126,0.0,3.9,0.1
sauvignon blanc white wine,119,0.0,3.0,0.1
syrah red wine,122,0.0,3.8,0.1
carignane red wine,370,0.0,12.0,0.4
pinot blanc white wine,119,0.0,2.9,0.1
semillon white wine,121,0.0,4.6,0.1
dessert wine dry,760,0.0,58.4,1.0
red wine,125,0.0,3.8,0.1
cabernet sauvignon red wine,166,0.0,5.2,0.1
muscat white wine,123,0.0,7.8,0.1
cooking wine,2,0.0,0.3,0.028
chardonnay white wine,168,0.0,4.3,0.1
claret red wine,122,0.0,4.4,0.1
rice sake,197,0.0,7.4,0.7
fume blanc white wine,121,0.0,3.3,0.1
cabarnet franc red wine,122,0.0,3.6,0.1
chocolate frosting,81,3.6,13.0,0.2
white sugar,19,0.0,5.0,0.0
egg substitute,115,0.0,4.8,24.0
agave syrup,21,0.081,5.3,0.025
splenda sweetener,336,0.0,91.2,0.0
vanilla extract,12,0.069,0.5,0.0
egg yolk dried,27,2.3,0.054,1.3
granulated sugar,16,0.0,4.2,0.0
baking chocolate,145,15.2,8.7,3.7
bakers yeast,18,0.3,3.1,1.4
fondant,106,0.009,26.4,0.0
brown sugar,16,0.0,4.1,0.024
white frosting dry,768,0.0,196.4,4.8
